week_start,channel,campaign_id,campaign_name,spend,revenue,orders,roas
2025-03-31,google,cmp_9001,Brand_Search_Exact,15905.77,6810.36,52,0.4282
2025-03-31,google,cmp_9002,NonBrand_Wellness,15345.73,6434.53,47,0.4193
2025-03-31,google,cmp_9003,PMax_DTC,21566.36,6016.1,48,0.279
2025-03-31,meta,cmp_8821,PLTV_Prospecting_US,16610.7,5689.9,48,0.3425
2025-03-31,meta,cmp_8822,Retargeting_Subscribers,7663.76,8844.68,70,1.1541
2025-03-31,meta,cmp_8823,Lookalike_LTV90,14101.85,8284.84,61,0.5875
2025-03-31,tiktok,cmp_7701,TT_Spark_UGC,10905.33,6574.61,52,0.6029
2025-03-31,tiktok,cmp_7702,TT_Prospecting,10925.55,6943.86,55,0.6356
2025-04-07,google,cmp_9001,Brand_Search_Exact,21366.3,6667.12,53,0.312
2025-04-07,google,cmp_9002,NonBrand_Wellness,21341.69,7833.06,59,0.367
2025-04-07,google,cmp_9003,PMax_DTC,24152.46,6004.68,46,0.2486
2025-04-07,meta,cmp_8821,PLTV_Prospecting_US,13862.78,7510.17,59,0.5418
2025-04-07,meta,cmp_8822,Retargeting_Subscribers,12097.25,7715.13,61,0.6378
2025-04-07,meta,cmp_8823,Lookalike_LTV90,19247.66,9278.77,69,0.4821
2025-04-07,tiktok,cmp_7701,TT_Spark_UGC,13126.25,9754.37,77,0.7431
2025-04-07,tiktok,cmp_7702,TT_Prospecting,14485.31,9771.73,78,0.6746
2025-04-14,google,cmp_9001,Brand_Search_Exact,11254.47,8321.02,66,0.7394
2025-04-14,google,cmp_9002,NonBrand_Wellness,12575.5,8234.89,61,0.6548
2025-04-14,google,cmp_9003,PMax_DTC,13411.94,7515.83,63,0.5604
2025-04-14,meta,cmp_8821,PLTV_Prospecting_US,16142.82,6532.69,59,0.4047
2025-04-14,meta,cmp_8822,Retargeting_Subscribers,19439.37,10683.5,81,0.5496
2025-04-14,meta,cmp_8823,Lookalike_LTV90,12667.39,9140.97,70,0.7216
2025-04-14,tiktok,cmp_7701,TT_Spark_UGC,15337.44,9256.38,77,0.6035
2025-04-14,tiktok,cmp_7702,TT_Prospecting,16354.25,8147.15,65,0.4982
2025-04-21,google,cmp_9001,Brand_Search_Exact,12590.97,9974.78,75,0.7922
2025-04-21,google,cmp_9002,NonBrand_Wellness,15968.72,6943.69,55,0.4348
2025-04-21,google,cmp_9003,PMax_DTC,13399.14,7711.38,63,0.5755
2025-04-21,meta,cmp_8821,PLTV_Prospecting_US,16460.45,6289.85,57,0.3821
2025-04-21,meta,cmp_8822,Retargeting_Subscribers,11183.74,7283.17,58,0.6512
2025-04-21,meta,cmp_8823,Lookalike_LTV90,17021.18,8947.75,72,0.5257
2025-04-21,tiktok,cmp_7701,TT_Spark_UGC,19116.48,9500.73,73,0.497
2025-04-21,tiktok,cmp_7702,TT_Prospecting,8641.26,9181.77,68,1.0625
2025-04-28,google,cmp_9001,Brand_Search_Exact,8485.3,2441.95,25,0.2878
2025-04-28,google,cmp_9002,NonBrand_Wellness,10065.12,3886.3,30,0.3861
2025-04-28,google,cmp_9003,PMax_DTC,11989.41,4389.3,36,0.3661
2025-04-28,meta,cmp_8821,PLTV_Prospecting_US,7897.3,4484.57,34,0.5679
2025-04-28,meta,cmp_8822,Retargeting_Subscribers,5945.5,3853.29,35,0.6481
2025-04-28,meta,cmp_8823,Lookalike_LTV90,3429.41,4814.06,33,1.4038
2025-04-28,tiktok,cmp_7701,TT_Spark_UGC,3907.43,3826.47,30,0.9793
2025-04-28,tiktok,cmp_7702,TT_Prospecting,9547.0,3604.71,31,0.3776
