order_id,order_date,week_start,net_sales,campaign_id,channel,is_subscription,discount_code,is_unattributed
ord_40000,2025-04-01,2025-03-31,145.5,cmp_8821,Meta,False,,False
ord_40001,2025-04-01,2025-03-31,35.75,cmp_8822,Meta,False,,False
ord_40002,2025-04-01,2025-03-31,151.11,cmp_8822,Meta,True,WELCOME10,False
ord_40003,2025-04-01,2025-03-31,72.01,cmp_9003,Google,False,WELCOME10,False
ord_40004,2025-04-01,2025-03-31,178.14,cmp_8822,Meta,False,,False
ord_40005,2025-04-01,2025-03-31,138.31,cmp_8823,Meta,False,,False
ord_40006,2025-04-01,2025-03-31,36.66,cmp_9003,Google,True,,False
ord_40007,2025-04-01,2025-03-31,44.77,cmp_8821,Meta,False,,False
ord_40008,2025-04-01,2025-03-31,117.67,cmp_9003,Google,False,WELCOME10,False
ord_40009,2025-04-01,2025-03-31,109.53,cmp_9002,Google,False,SPRING20,False
ord_40010,2025-04-01,2025-03-31,210.62,cmp_8823,Meta,False,SPRING20,False
ord_40011,2025-04-01,2025-03-31,129.16,cmp_7701,Tiktok,True,SPRING20,False
ord_40012,2025-04-01,2025-03-31,188.86,cmp_9001,Google,True,,False
ord_40013,2025-04-01,2025-03-31,171.79,cmp_8823,Meta,False,,False
ord_40014,2025-04-01,2025-03-31,201.01,cmp_8822,Meta,False,,False
ord_40015,2025-04-01,2025-03-31,104.46,cmp_8823,Meta,False,WELCOME10,False
ord_40016,2025-04-01,2025-03-31,190.75,cmp_8823,Meta,True,SPRING20,False
ord_40017,2025-04-01,2025-03-31,148.91,cmp_7701,Tiktok,True,SPRING20,False
ord_40018,2025-04-01,2025-03-31,77.34,cmp_7701,Tiktok,True,,False
ord_40019,2025-04-01,2025-03-31,89.73,cmp_8821,Meta,False,,False
ord_40020,2025-04-01,2025-03-31,112.28,cmp_7702,Tiktok,False,WELCOME10,False
ord_40021,2025-04-01,2025-03-31,123.31,cmp_7702,Tiktok,False,,False
ord_40022,2025-04-01,2025-03-31,121.15,cmp_9002,Google,True,,False
ord_40023,2025-04-01,2025-03-31,183.24,cmp_7701,Tiktok,False,SPRING20,False
ord_40024,2025-04-01,2025-03-31,164.27,,,False,,True
ord_40025,2025-04-01,2025-03-31,58.95,cmp_8823,Meta,False,,False
ord_40026,2025-04-01,2025-03-31,185.33,cmp_9002,Google,True,SPRING20,False
ord_40027,2025-04-01,2025-03-31,174.21,cmp_9003,Google,False,,False
ord_40028,2025-04-01,2025-03-31,194.99,cmp_7701,Tiktok,False,WELCOME10,False
ord_40029,2025-04-01,2025-03-31,85.83,cmp_8823,Meta,False,WELCOME10,False
ord_40030,2025-04-01,2025-03-31,199.55,cmp_8821,Meta,False,WELCOME10,False
ord_40031,2025-04-01,2025-03-31,110.31,cmp_8822,Meta,False,,False
ord_40032,2025-04-01,2025-03-31,86.11,cmp_7702,Tiktok,False,,False
ord_40033,2025-04-01,2025-03-31,60.16,cmp_9001,Google,False,,False
ord_40034,2025-04-01,2025-03-31,139.1,cmp_8822,Meta,False,SPRING20,False
ord_40035,2025-04-01,2025-03-31,106.87,cmp_8821,Meta,False,WELCOME10,False
ord_40036,2025-04-01,2025-03-31,60.68,cmp_8822,Meta,False,SPRING20,False
ord_40037,2025-04-01,2025-03-31,130.61,cmp_8822,Meta,True,WELCOME10,False
ord_40038,2025-04-01,2025-03-31,107.27,cmp_7702,Tiktok,True,,False
ord_40039,2025-04-01,2025-03-31,39.27,cmp_9003,Google,False,,False
ord_40040,2025-04-01,2025-03-31,194.19,cmp_9001,Google,False,,False
ord_40041,2025-04-01,2025-03-31,152.87,cmp_9002,Google,False,,False
ord_40042,2025-04-01,2025-03-31,219.51,cmp_9001,Google,False,,False
ord_40043,2025-04-01,2025-03-31,217.27,cmp_9001,Google,True,,False
ord_40044,2025-04-01,2025-03-31,194.83,cmp_9002,Google,True,WELCOME10,False
ord_40045,2025-04-01,2025-03-31,127.32,cmp_9002,Google,True,,False
ord_40046,2025-04-01,2025-03-31,104.87,cmp_7701,Tiktok,False,WELCOME10,False
ord_40047,2025-04-01,2025-03-31,181.51,cmp_7702,Tiktok,False,SPRING20,False
ord_40048,2025-04-01,2025-03-31,167.33,cmp_9003,Google,True,SPRING20,False
ord_40049,2025-04-01,2025-03-31,54.08,cmp_8822,Meta,False,SPRING20,False
ord_40050,2025-04-01,2025-03-31,37.22,cmp_7702,Tiktok,False,,False
ord_40051,2025-04-01,2025-03-31,54.23,cmp_9003,Google,True,,False
ord_40052,2025-04-01,2025-03-31,164.19,cmp_9001,Google,False,,False
ord_40053,2025-04-01,2025-03-31,58.12,cmp_9002,Google,False,WELCOME10,False
ord_40054,2025-04-01,2025-03-31,84.44,cmp_8822,Meta,True,,False
ord_40055,2025-04-01,2025-03-31,98.7,cmp_8821,Meta,False,,False
ord_40056,2025-04-01,2025-03-31,112.64,cmp_8822,Meta,False,WELCOME10,False
ord_40057,2025-04-01,2025-03-31,41.35,cmp_8822,Meta,False,,False
ord_40058,2025-04-01,2025-03-31,179.68,cmp_7702,Tiktok,True,,False
ord_40059,2025-04-01,2025-03-31,103.81,cmp_7701,Tiktok,False,,False
ord_40060,2025-04-01,2025-03-31,207.97,cmp_9003,Google,False,,False
ord_40061,2025-04-01,2025-03-31,103.55,cmp_8821,Meta,True,,False
